Cód.Original;Baia;Corredor;Nível;Cód.Barras
46014AG; 01;L;1;789854426348 6
46801ML; 02;L;1;789000234255 9
46849FL; 03;L;1;789004140489 8
46839FL; 04;L;1;789004138786 3
46907AG; 05;L;1;789000237531 1
46001AG; 06;L;1;789000238546 4
46801 AG; 07;L;1;789000237074 3
46803AG; 08;L;1;789000238422 1
6PK0870; 09;L;1;789002720667 6
22414B;10;L;1;230020280067 4
7001992C91E;100;L;1;789582525556 7
7007120R1E;101;L;1;789006138935 9
R7003757C1E;102;L;1;789006138592 4
7001658C1E;103;L;1;789582525397 6
7002379C2;104;L;1;789582525631 1
31171941E;105;L;1;789582501981 7
961208530124E;106;L;1;789582522059 6
961208530134E;107;L;1;789582536791 8
7002396C1E;108;L;1;789582525794 3
7002192C1E;109;L;1;789582525890 2
10321SC;11;L;1;130200300575 4
961004330104E;110;L;1;789582525921 3
70920177E;111;L;1;789582508089 3
961208530114E;112;L;1;789582526075 2
7001594C1E;113;L;1;789582536741 3
7002252C1E;114;L;1;789582525553 6
961203550255E;115;L;1;789582524694 7
7001601C1E;116;L;1;789582525408 9
7002085C1E;117;L;1;789582525398 3
961280130156;118;L;1;789582530741 9
70640205;119;L;1;789582519703 4
46827B;12;L;1;730020280445 5
941280130066;120;L;1;789000239185 4
961284300437;121;L;1;789582535209 9
961283400154;122;L;1;789582525620 5
961284300187;123;L;1;789582531103 4
961254300187;123;L;1;789000640721 6
7001468C1E;124;L;1;789582536818 2
961207310034E;126;L;1;789582536655 3
961207570024E;127;L;1;789582536593 8
7003753C1E;128;L;1;789582530508 8
904931370121E;129;L;1;789003039399 8
22419B;13;L;1;230020280071 1
961206530034E;130;L;1;789582524392 2
7002801C1E;131;L;1;789582545134 1
7002797C1E;132;L;1;789582536653 9
961209730024E;133;L;1;789582524675 6
1840363C1E;134;L;1;789000437539 5
7000201C1E;135;L;1;789582525392 1
7004163C1E;136;L;1;789001135871 8
961209400084E;137;L;1;789582526047 9
961280190388;138;L;1;789582525144 6
961004330094E;139;L;1;789582525969 5
46725PP;14;L;1;789000236949 5
961206530044E;140;L;1;789582524393 9
