Cód.Original;Baia;Corredor;Nível;Cód.Barras
E26510;;;1;120150191374 8
02004BAGP;;;1;789125202004 4
SBB223J;;;1;120060193066 2
SBC405J 075;;;1;120060193065 5
135;;;1;789014532460 3
10210;;;1;789267700217 2
SBB223J 050;;;1;120060193062 4
SM59405 STD;;;1;789241554792 7
CUN6144;;;1;510410280107 9
97190960;;;1;789053710967 2
13311U;;;1;730020191612 8
A59870 050;;;1;789241539260 2
SB59223 050;;;1;789241554722 4
77848620;;;1;789000041083 0
11906 AG;;;1;789854426073 7
SM59405 050;;;1;789241554794 1
SBB223J 100;;;1;120060193007 5
SM59405 075;;;1;789476604401 8
61052030;;;1;789537215195 4
SB59223 075;;;1;789241554723 1
VS5456;;;1;789000041076 2
800060140000;;;1;789053710124 9
136;;;1;170010013280 7
SB59223 100;;;1;789241554724 8
SB59223 025;;;1;789241554721 7
SB59223 STD;;;1;789241554720 0
97234960;;;1;789053710973 3
64111093;;;1;789000226741 8
SBC405J 050;;;1;120060193100 3
02006BAG;;;1;789125202006 8
11163030;;;1;789537204557 4
64113501;;;1;720020190758 7
64113401;;;1;720020190757 0
64113601;;;1;720020190756 3
30011;;;1;789267700657 6
A59000 STD;;;1;789476601197 3
30010;;;1;789267700656 9
10210A;;;1;789267700218 9
32300B;;;1;230020190274 4
30795B;;;1;230020190254 6
10110;;;1;789267700105 2
22617B;;;1;230020280084 1
30710B;;;1;230020280249 4
31705B;;;1;230020280265 4
20025;;;1;789267700448 0
88850110;;;1;280350040359 7
B59223;;;1;120060010011 0
K59000;;;1;120160190219 2
S59110;;;1;120150191044 0
S59100;;;1;120150191043 3
S59000;;;1;120150191042 6
K59312;;;1;120160190943 6
K59202;;;1;120160190940 5
K59102;;;1;120160190938 2
K59490;;;1;120160190937 5
TR6B10;;;1;761050190009 4
31817B;;;1;230020190307 9
30710B/1;;;1;230020190250 8
11625CU;;;1;130020190778 8
31815B;;;1;230020190306 2
B59223 025;;;1;120060010013 4
S59490;;;1;120150191049 5
P1632;;;1;120150052903 2
10504NP;;;1;789909213513 3
L59105 030;;;1;120240192832 0
L59105 010;;;1;120240192831 3
L59105;;;1;120240192830 6
A59109 025;;;1;120300282829 3
01832BR;;;1;510410190060 5
30006;;;1;789267700653 8
A59840 STD;;;1;789241547227 4
;;;1;510410320052 9
K930;;;1;120160042760 3
VA0590043;;;1;120170193150 4
E59310 050;;;1;120150192729 5
S59560 STD;;;1;120150053162 2
A59100 050;;;1;789476601202 4
S59560 050;;;1;120150053163 9
BKR5EY;;;1;761050280001 0
SUK1806;;;1;120160282690 9
77616640;;;1;789053710347 2
SL59060 010;;;1;789241554851 1
S59570 050;;;1;120150053165 3
BC241 050;;;1;120060193224 6
VA0590093;;;1;120170053232 0
BC123J 025;;;1;120060873259 7
61052230;;;1;470350280726 4
GC0590010;;;1;120340053336 2
SM59405 100;;;1;789241554796 5
9575059;;;1;340270190138 4
SL59060 STD;;;1;789241554850 4
SL59060 015;;;1;789241554852 8
13306U;;;1;730020011611 6
BB223J 050;;;1;120060042609 8
61405 UC;;;1;789000237077 4
A59509 STD;;;1;789241562818 3
01945BRGS*;;;1;789125201945 1
156;;;1;789003720163 0
VE0590178;;;1;120170193577 9
KD0019;;;1;789001639470 4
97152960;;;1;789053710957 3
VA0590181;;;1;120170193579 3
01074BRG;;;1;510410280025 6
09239BREF;;;1;510170190022 6
KD1299;;;1;789001639418 6
77617620;;;1;789000630618 2
VA0590066;;;1;120170193599 1
VE0590182;;;1;120170193602 8
VE0590171;;;1;120170193604 2
800065040060;;;1;789003039362 2
05167BRAGEF;;;1;789125205167 3
VE0590173;;;1;120170193606 6
30705B;;;1;230020190248 5
VA0590174;;;1;120170193607 3
VE0590175;;;1;120170193608 0
11808GU;;;1;730020191627 2
A59499 050;;;1;789241562816 9
31795B;;;1;230020280266 1
10138;;;1;789267700138 0
05166BRAGF;;;1;789125205166 6
11818U;;;1;730020191635 7
40714U;;;1;730020321637 0
SBC405J 100;;;1;120060193756 2
77616650 150;;;1;789053710348 9
1669APL;;;1;690160190240 0
RE1169;;;1;789001736147 7
RE1039;;;1;789909742506 2
05702KIT;;;1;789004133290 0
01943BAGEP;;;1;789125201943 7
A59499 STD;;;1;789241562815 2
A59309 STD;;;1;789241563428 3
S59000 050;;;1;120060192386 2
DA6583 STD;;;1;120300053067 9
VE0590042;;;1;120170192560 2
AETO16;;;1;789003039143 7
11211GU;;;1;730020051569 8
K59492;;;1;120160013817 2
86010604;;;1;280240190727 2
K59320;;;1;120160012296 6
M59123 075;;;1;789476604329 5
K59201;;;1;120160190931 3
79244610;;;1;789053710356 4
M59710 050;;;1;789241589309 3
GC0590066 STD;;;1;120340193835 7
M59710 100;;;1;789241589313 0
11906AU/GU;;;1;730020191557 2
VS5657;;;1;789000041059 5
105AV1180;;;1;789002732209 3
64113651;;;1;720020190759 4
11808AU/GU;;;1;730020191556 5
11111U;;;1;730020190135 3
S59201 100;;;1;120150192485 0
11112U;;;1;730020191183 3
10510NP;;;1;789000232225 4
11106GU;;;1;730020191160 4
50017855 STD;;;1;789001713616 7
AE014J STD;;;1;789241517200 6
77616630;;;1;789053710346 5
S59490 050;;;1;120150192472 0
11802AG;;;1;789000232473 9
134;;;1;789003132523 3
77616610;;;1;789053710344 1
S59490 100;;;1;120150012470 1
77617650;;;1;789053710354 0
S59310 050;;;1;120150012463 3
77617620 STD;;;1;789053710351 9
97028960;;;1;789053710951 1
A59009 100;;;1;789241537710 4
13306AG;;;1;789000235124 7
97075960;;;1;789053710954 2
77616600;;;1;789053710343 4
20082;;;1;789847900013 2
77617650 150;;;1;789000533205 2
134APL;;;1;789018333233 2
A59600 050;;;1;789476607376 6
77787600;;;1;789053710507 0
153010;;;1;789000041038 0
A59500 050;;;1;789476607373 5
05250BRGF;;;1;289427205250 2
S59300 050;;;1;120150012335 3
S59300 100;;;1;120150012300 1
800061340100;;;1;789003033629 2
S59201 050;;;1;120150012252 3
S59210 100;;;1;120150012251 6
25645030;;;1;789537206781 1
800061341000 STD;;;1;789053713211 3
92054711;;;1;789053712978 6
00962BR;;;1;789125200962 9
800060640000;;;1;789053710163 8
97181960;;;1;789053710964 1
00962BRGP;;;1;170410010332 4
30004;;;1;789267700651 4
30001;;;1;789267700648 4
155;;;1;170370010294 2
11307 FLEX;;;1;779396032307 6
77657630 075;;;1;789053710560 5
77617630 075;;;1;789000633959 3
800060040000 STD;;;1;789003033964 4
166-9;;;1;170010010248 0
61611FI;;;1;730020191030 0
61507SCR;;;1;730020191014 0
BC218 025;;;1;789000634948 6
59707SCR;;;1;730020260884 8
97295600 STD;;;1;789053712031 8
S59500 050;;;1;120150192433 1
11811CB RV;;;1;130020190691 0
800060240000;;;1;789003034127 2
301781000 STD;;;1;789000134182 9
11616CB;;;1;730020190225 1
89476810 STD;;;1;789003034199 9
00222BAG;;;1;510410190018 6
TA7453 STD;;;1;789003034297 2
11912GV;;;1;789000234648 9
11705 GV;;;1;789000234649 6
800038440000 STD;;;1;789003034737 3
D121SX180;;;1;590270280004 7
50017730 STD;;;1;789053711456 0
11286030;;;1;789537204776 9
11026B;;;1;730020190200 8
BB238 050;;;1;789000634811 3
11811AU/GU;;;1;730020190196 4
BB238 075;;;1;789000634812 0
11611AU/GU;;;1;730020190195 7
11311GU;;;1;730020190193 3
SBB150J010;;;1;789000041006 9
BB777 075;;;1;789000634823 6
11802AU/GU;;;1;730020190188 9
11807AU/GU;;;1;730020190178 0
11806AU/GU;;;1;730020190176 6
86010604 010;;;1;789000627501 3
11620AU/GU;;;1;730020190174 2
68514311;;;1;720020280393 2
84141258;;;1;720020190166 0
54151201;;;1;720020190151 6
64134861;;;1;720020190135 6
159;;;1;691450190014 8
AE060MT 050;;;1;789002434831 7
BC777MT 050;;;1;789000634862 5
BC241 100;;;1;789000634884 7
97348620;;;1;789053713239 7
64134341;;;1;720020190132 5
64134211;;;1;720050190131 5
800060140050;;;1;789053710125 6
SM405 STD;;;1;789894231414 8
RDC1006;;;1;170010010557 3
64114861;;;1;720010190072 5
64114341;;;1;720020190070 0
64114211;;;1;720020190068 7
64111471;;;1;720050190065 3
KD0019CP;;;1;789001640606 3
S59210 050;;;1;120150192388 4
SM405 125;;;1;789000634931 8
SM405 150;;;1;789000634932 5
SB777 025;;;1;789000634943 1
SM777 025;;;1;789000634944 8
BB218 025;;;1;789000634950 9
M59710 025;;;1;789241589307 9
A59000 050;;;1;789476601198 0
A59100 100;;;1;120300192355 5
A59009 050;;;1;789241537709 8
40297960;;;1;789053710907 8
92054710 050;;;1;789001534998 9
307751000;;;1;789003034999 5
79407FLEX;;;1;789000040973 5
