Cód.Original;Baia;;Nível;Cód.Barras
36821118;178;;2;100020051215 9
70026CB; 002;A;2;730020051149 2
4203193; 003;A;2;100020050847 3
4203193R; 003;A;2;789582508675 8
70526CB; 003;A;2;789000240453 0
42100BR/8; 004;A;2;230020050019 4
70506SCR; 004;A;2;789000234613 7
70107CS; 004;A;2;789000233141 6
4203194R; 004;A;2;100020054870 7
4203194; 004;A;2;100020052639 2
JJM70912931; 004;A;2;789582519264 0
70406SCR; 004;A;2;789854428829 8
70912931; 004;A;2;720020050030 7
70626CB; 005;A;2;789854427096 5
70910831; 005;A;2;720910190684 3
4203195; 005;A;2;100020050959 3
4203196; 006;A;2;100020052640 8
70426CB; 006;A;2;130020050059 1
70308SCR; 008;A;2;789854426778 1
JM57260/4; 008;A;2;120020050255 0
4236229R; 008;A;2;100010015158 8
4236229; 008;A;2;100020052714 6
60913031; 008;A;2;720020050013 0
70308CB SC; 008;A;2;130020050016 4
70207EFPSD; 009;A;2;789000220078 1
4236232; 009;A;2;100020050323 2
70327B; 009;A;2;789000217536 2
60912981; 009;A;2;720020050011 6
70306SCR; 009;A;2;730020031073 6
41700B/5; 009;A;2;230020060018 4
JM57220/4; 009;A;2;120020050280 2
70326CB; 010;A;2;789354801415 7
4236234; 011;A;2;100020050321 8
4236234R; 011;A;2;789582519740 9
70310SCR; 011;A;2;730020031076 7
JM57240/4; 011;A;2;120020050249 9
4236196RE; 011;A;2;789582519995 3
60910151; 011;A;2;720020050008 6
4236235; 012;A;2;100020050356 0
70309CB SC; 012;A;2;130020050018 8
U5LB1167E; 012;A;2;789582508501 0
U5LB1163E; 013;A;2;789582508532 4
60913439; 014;A;2;720020050014 7
635870E; 014;A;2;789582500730 2
JM57700/6; 014;A;2;120020050553 7
7005374R91E; 014;A;2;789582531680 0
70706SCR; 014;A;2;789000235276 3
70706US; 014;A;2;730020051113 3
S4040; 015;A;2;100020059730 9
70305SCR; 015;A;2;789000232434 0
70305CB SC; 015;A;2;130020050024 9
70304CB NA; 015;A;2;130020050019 5
70309SCR; 015;A;2;730020051075 4
JJM70914733; 015;A;2;789582519269 5
JM57280/6; 017;A;2;120020050275 8
60913761; 017;A;2;720020040845 0
70913261; 017;A;2;720020050779 5
70206SCR; 017;A;2;730020051087 7
70206US; 017;A;2;730020051086 0
6354128; 017;A;2;789582501576 5
7005375R91; 018;A;2;789582531131 7
70207SCR; 018;A;2;730020191091 1
JJM70913761; 018;A;2;789582519267 1
6354132; 018;A;2;789582501579 6
60913763; 020;A;2;720020300847 3
70208CB SC; 021;A;2;130020050034 8
70913813; 021;A;2;720020050038 3
6354135; 021;A;2;789582501582 6
6357136; 022;A;2;100020050935 7
60912881; 022;A;2;720020050658 3
70907SCR; 022;A;2;789000234614 4
JM57600/6; 023;A;2;120020050353 3
70906CB SC01; 023;A;2;130020050973 0
JJM70912881; 023;A;2;789582519263 3
60913021; 023;A;2;720020050012 3
70906UC; 023;A;2;730020051114 0
6357133; 023;A;2;100020052655 2
HS504; 024;A;2;789582508449 5
60923439; 024;A;2;720020050019 2
HS505;024A;A;2;789582508450 1
HS506;024B;A;2;789582508451 8
HS507;024C;A;2;789582508531 7
70011SCR; 025;A;2;789000237420 8
70011U; 025;A;2;730020051135 5
315202; 025;A;2;100020058020 2
R7001566C91E; 025;A;2;789582530565 1
42495B/8; 025;A;2;230020050468 0
420495B8; 025;A;2;779396002697 7
70011CB RV; 025;A;2;130020050041 6
315202R; 025;A;2;789582507475 5
70930361; 026;A;2;720020050047 5
3152161; 026;A;2;100020058037 0
3152161R; 026;A;2;789582537611 8
70910361; 026;A;2;720020050028 4
70111CB SC; 026;A;2;789000232282 7
